001  00389 |Loss: 3.502 | Acc: 10.403% 
001  00390 |Loss: 3.499 | Acc: 10.417% 
001  00391 |Loss: 3.496 | Acc: 10.414% 
001  00392 |Loss: 3.493 | Acc: 10.411% 
001  00393 |Loss: 3.490 | Acc: 10.425% 
001  00394 |Loss: 3.487 | Acc: 10.406% 
001  00395 |Loss: 3.484 | Acc: 10.403% 
001  00396 |Loss: 3.481 | Acc: 10.385% 
001  00397 |Loss: 3.479 | Acc: 10.390% 
001  00398 |Loss: 3.476 | Acc: 10.372% 
001  00399 |Loss: 3.473 | Acc: 10.354% 
001  00400 |Loss: 3.470 | Acc: 10.391% 
001  00401 |Loss: 3.468 | Acc: 10.380% 
001  00402 |Loss: 3.465 | Acc: 10.370% 
001  00403 |Loss: 3.463 | Acc: 10.368% 
001  00404 |Loss: 3.460 | Acc: 10.357% 
001  00405 |Loss: 3.458 | Acc: 10.347% 
001  00406 |Loss: 3.455 | Acc: 10.353% 
001  00407 |Loss: 3.453 | Acc: 10.350% 
001  00408 |Loss: 3.451 | Acc: 10.340% 
001  00409 |Loss: 3.448 | Acc: 10.338% 
001  00410 |Loss: 3.446 | Acc: 10.358% 
001  00411 |Loss: 3.443 | Acc: 10.371% 
001  00412 |Loss: 3.441 | Acc: 10.369% 
001  00413 |Loss: 3.439 | Acc: 10.389% 
001  00414 |Loss: 3.437 | Acc: 10.386% 
001  00415 |Loss: 3.434 | Acc: 10.369% 
001  00416 |Loss: 3.431 | Acc: 10.374% 
001  00417 |Loss: 3.428 | Acc: 10.357% 
001  00418 |Loss: 3.426 | Acc: 10.362% 
001  00419 |Loss: 3.423 | Acc: 10.359% 
001  00420 |Loss: 3.422 | Acc: 10.372% 
001  00421 |Loss: 3.419 | Acc: 10.362% 
001  00422 |Loss: 3.418 | Acc: 10.352% 
001  00423 |Loss: 3.417 | Acc: 10.358% 
001  00424 |Loss: 3.415 | Acc: 10.341% 
001  00425 |Loss: 3.413 | Acc: 10.338% 
001  00426 |Loss: 3.410 | Acc: 10.336% 
001  00427 |Loss: 3.408 | Acc: 10.348% 
001  00428 |Loss: 3.406 | Acc: 10.353% 
001  00429 |Loss: 3.403 | Acc: 10.380% 
001  00430 |Loss: 3.402 | Acc: 10.392% 
001  00431 |Loss: 3.399 | Acc: 10.434% 
001  00432 |Loss: 3.397 | Acc: 10.482% 
001  00433 |Loss: 3.395 | Acc: 10.472% 
001  00434 |Loss: 3.392 | Acc: 10.498% 
001  00435 |Loss: 3.391 | Acc: 10.496% 
001  00436 |Loss: 3.388 | Acc: 10.479% 
001  00437 |Loss: 3.386 | Acc: 10.476% 
001  00438 |Loss: 3.384 | Acc: 10.481% 
001  00439 |Loss: 3.382 | Acc: 10.471% 
001  00440 |Loss: 3.380 | Acc: 10.476% 
001  00441 |Loss: 3.377 | Acc: 10.473% 
001  00442 |Loss: 3.375 | Acc: 10.457% 
001  00443 |Loss: 3.373 | Acc: 10.461% 
001  00444 |Loss: 3.370 | Acc: 10.466% 
001  00445 |Loss: 3.368 | Acc: 10.492% 
001  00446 |Loss: 3.366 | Acc: 10.496% 
001  00447 |Loss: 3.364 | Acc: 10.480% 
001  00448 |Loss: 3.361 | Acc: 10.484% 
001  00449 |Loss: 3.360 | Acc: 10.489% 
001  00450 |Loss: 3.357 | Acc: 10.521% 
001  00451 |Loss: 3.355 | Acc: 10.504% 
001  00452 |Loss: 3.353 | Acc: 10.495% 
001  00453 |Loss: 3.351 | Acc: 10.513% 
001  00454 |Loss: 3.349 | Acc: 10.511% 
001  00455 |Loss: 3.347 | Acc: 10.508% 
001  00456 |Loss: 3.345 | Acc: 10.519% 
001  00457 |Loss: 3.343 | Acc: 10.517% 
001  00458 |Loss: 3.341 | Acc: 10.521% 
001  00459 |Loss: 3.339 | Acc: 10.505% 
001  00460 |Loss: 3.337 | Acc: 10.496% 
001  00461 |Loss: 3.335 | Acc: 10.493% 
001  00462 |Loss: 3.333 | Acc: 10.498% 
001  00463 |Loss: 3.330 | Acc: 10.489% 
001  00464 |Loss: 3.328 | Acc: 10.486% 
001  00465 |Loss: 3.326 | Acc: 10.511% 
001  00466 |Loss: 3.326 | Acc: 10.522% 
001  00467 |Loss: 3.324 | Acc: 10.506% 
001  00468 |Loss: 3.322 | Acc: 10.503% 
001  00469 |Loss: 3.321 | Acc: 10.494% 
001  00470 |Loss: 3.319 | Acc: 10.485% 
001  00471 |Loss: 3.317 | Acc: 10.470% 
001  00472 |Loss: 3.315 | Acc: 10.467% 
001  00473 |Loss: 3.314 | Acc: 10.452% 
001  00474 |Loss: 3.311 | Acc: 10.443% 
001  00475 |Loss: 3.310 | Acc: 10.454% 
001  00476 |Loss: 3.308 | Acc: 10.445% 
001  00477 |Loss: 3.307 | Acc: 10.443% 
001  00478 |Loss: 3.305 | Acc: 10.447% 
001  00479 |Loss: 3.303 | Acc: 10.438% 
001  00480 |Loss: 3.300 | Acc: 10.449% 
001  00481 |Loss: 3.299 | Acc: 10.447% 
001  00482 |Loss: 3.297 | Acc: 10.432% 
001  00483 |Loss: 3.295 | Acc: 10.462% 
001  00484 |Loss: 3.293 | Acc: 10.460% 
001  00485 |Loss: 3.291 | Acc: 10.451% 
001  00486 |Loss: 3.290 | Acc: 10.442% 
001  00487 |Loss: 3.287 | Acc: 10.466% 
001  00488 |Loss: 3.285 | Acc: 10.470% 
001  00489 |Loss: 3.284 | Acc: 10.455% 
001  00490 |Loss: 3.282 | Acc: 10.453% 
001  00491 |Loss: 3.281 | Acc: 10.444% 
001  00492 |Loss: 3.279 | Acc: 10.442% 
001  00493 |Loss: 3.277 | Acc: 10.427% 
001  00494 |Loss: 3.276 | Acc: 10.412% 
001  00495 |Loss: 3.274 | Acc: 10.429% 
001  00496 |Loss: 3.272 | Acc: 10.421% 
001  00497 |Loss: 3.271 | Acc: 10.406% 
001  00498 |Loss: 3.269 | Acc: 10.410% 
001  00499 |Loss: 3.267 | Acc: 10.408% 
